district,state,latitude,longitude
Durg,Chhattisgarh,21.1904,81.2849
Bastar,Chhattisgarh,19.2,81.7333
Raipur,Chhattisgarh,21.2514,81.6296
Bilaspur,Chhattisgarh,22.08,82.15
Raigarh,Chhattisgarh,21.9,83.4
Surguja,Chhattisgarh,22.8833,83.45
Jabalpur,Madhya Pradesh,23.1667,79.9333
Balaghat,Madhya Pradesh,21.8,80.1833
Chhindwara,Madhya Pradesh,22.06,78.9333
Narsinghpur,Madhya Pradesh,22.95,79.2
Sagar,Madhya Pradesh,23.83,78.71
Bhopal,Madhya Pradesh,23.2599,77.4126
Indore,Madhya Pradesh,22.7196,75.8577
Gwalior,Madhya Pradesh,26.2183,78.1828
Ujjain,Madhya Pradesh,23.1793,75.7849
Hyderabad,Telangana,17.385,78.4867
Medak,Telangana,18.03,78.27
Mahabubnagar,Telangana,16.73,77.99
Nalgonda,Telangana,17.05,79.27
Warangal,Telangana,18.0,79.5833
Khammam,Telangana,17.25,80.15
Rangareddy,Telangana,17.3,78.27
Karimnagar,Telangana,18.4386,79.1288
Nizamabad,Telangana,18.6725,78.0941
Buldhana,Maharashtra,20.5333,76.1833
Akola,Maharashtra,20.7,77.0
Amarawati,Maharashtra,20.93,77.75
Yeotmal,Maharashtra,20.4,78.1333
Wardha,Maharashtra,20.75,78.6167
Nagpur,Maharashtra,21.1458,79.0882
Pune,Maharashtra,18.5204,73.8567
Nashik,Maharashtra,20.0059,73.791
Aurangabad,Maharashtra,19.8762,75.3433
Kolhapur,Maharashtra,16.705,74.2433
Gurgaon,Haryana,28.45,77.02
Jind,Haryana,29.3167,76.3167
Mahendragarh,Haryana,28.2833,76.15
Ambala,Haryana,30.38,76.78
Karnal,Haryana,29.68,76.98
Faridabad,Haryana,28.4089,77.3178
Panipat,Haryana,29.3909,76.9635
Rohtak,Haryana,28.8955,76.6066
Hisar,Haryana,29.1492,75.7217
Kamrup,Assam,26.0,91.0
Karbi Anglong,Assam,26.0,93.5
Lakhimpur,Assam,27.24,94.1
Dima Hasao,Assam,25.5,93.0
Nagaon,Assam,26.35,92.68
Dibrugarh,Assam,27.4728,94.912
Jorhat,Assam,26.75,94.2167
Tinsukia,Assam,27.5,95.3667
Silchar,Assam,24.827,92.798
Shahabad,Bihar,25.58,84.67
Gaya,Bihar,24.75,85.0
Patna,Bihar,25.5941,85.1376
Muzaffarpur,Bihar,26.1209,85.3647
Bhagalpur,Bihar,25.2619,86.9895
Darbhanga,Bihar,26.1522,85.8972
Gopalganj,Bihar,26.47,84.44
Siwan,Bihar,26.22,84.356
Hazaribagh,Jharkhand,24.0,85.35
Dhanbad,Jharkhand,23.8,86.43
Palamau,Jharkhand,24.07,84.07
Ranchi,Jharkhand,23.3441,85.3096
Jamshedpur,Jharkhand,22.8046,86.2029
Bokaro,Jharkhand,23.6693,86.1511
Deoghar,Jharkhand,24.4821,86.7175
Dumka,Jharkhand,24.2676,87.2505
Seoni / Shivani,Madhya Pradesh,22.6515644,76.1276897
Mandla,Madhya Pradesh,22.6871074,80.5816341
Damoh,Madhya Pradesh,23.7981005,79.5419356
Tikamgarh,Madhya Pradesh,24.8552105,79.0472546
Chhatarpur,Madhya Pradesh,24.7606089,79.6781776
Panna,Madhya Pradesh,24.4498931,80.1462723
Rewa,Madhya Pradesh,24.7560846,81.3810574
Sidhi,Madhya Pradesh,24.2112687,81.7000415
Satna,Madhya Pradesh,24.6954445,80.7770348
Shahdol,Madhya Pradesh,23.3002343,81.364771
Shivpuri,Madhya Pradesh,25.3741215,77.8278866
Guna,Madhya Pradesh,24.5001772,77.2600959
Datia,Madhya Pradesh,25.9182946,78.6644962
Morena,Madhya Pradesh,26.3849794,77.8612721
Bhind,Madhya Pradesh,26.3518828,78.6863189
Ratlam,Madhya Pradesh,23.50222,74.9551534
Mandsaur,Madhya Pradesh,24.2628148,75.385692
Dewas,Madhya Pradesh,22.8057498,76.2940408
Dhar,Madhya Pradesh,22.5786572,75.2258637
Jhabua,Madhya Pradesh,22.8869652,74.7243249
Khargone / West Nimar,Madhya Pradesh,21.8317931,75.6284103
Khandwa / East Nimar,Madhya Pradesh,21.75,76.583333
Sehore,Madhya Pradesh,23.1150041,77.0665356
Raisen,Madhya Pradesh,23.2675909,78.1727134
Vidisha,Madhya Pradesh,23.8463003,77.8370209
Betul,Madhya Pradesh,21.8797472,77.8753651
Rajgarh,Madhya Pradesh,23.8716706,76.7744703
Shajapur,Madhya Pradesh,23.4171001,76.6074794
Hoshangabad,Madhya Pradesh,22.7545538,77.7198249
Srikakulam,Andhra Pradesh,18.2949307,83.8938844
Visakhapatnam,Andhra Pradesh,17.6935526,83.2921297
East Godavari,Andhra Pradesh,16.9956639,81.7154378
West Godavari,Andhra Pradesh,16.6443029,81.5885247
Krishna,Andhra Pradesh,16.2129438,81.0283082
Guntur,Andhra Pradesh,16.2915189,80.4541588
S.P.S. Nellore,Andhra Pradesh,14.4570626,79.9896024
Kurnool,Andhra Pradesh,15.8309251,78.0425373
Ananthapur,Andhra Pradesh,14.5696934,77.6483072
Kadapa YSR,Andhra Pradesh,14.4752936,78.8216861
